Car_Name,MSRP,Description
2015AudiA4,"$19,995",https://www.gotoauto.ca /inventory/view/14862358/2015-Audi-A4-Komfort-plus-S-line-Quattro-Sedan---Parking-sensors|Leather|Heated-seats|Sunroof
2014AudiA5,"$20,995",https://www.gotoauto.ca /inventory/view/15080026/2014-Audi-A5-Progressiv-Quattro-Coupe---Nav|Parking-sensors|Leather|Heated-seats|Sunroof|Bluetooth
2017AudiQ5,"$28,995",https://www.gotoauto.ca /inventory/view/14936812/2017-Audi-Q5-Progressiv-Quattro-SUV---Parking-sensors|Leather|Heated-seats|Panoramic-roof|Bluetooth
2012AudiS4,"$22,995",https://www.gotoauto.ca /inventory/view/14867223/2012-Audi-S4-Prestige-Quattro-Sedan---Nav|Camera|Parking-sensors|Blind-spot-assist|B&O-Sound|Low-kms
2014AudiS5,"$29,995",https://www.gotoauto.ca /inventory/view/14648546/2014-Audi-S5-Technik-Quattro-Coupe---Nav|Camera|Parking-sensors|Blind-spot-assist|B&O-Sound|Low-kms!
2014AudiS6,"$34,995",https://www.gotoauto.ca /inventory/view/14964627/2014-Audi-S6-Quattro-Sedan---Nav|360-Camera|Blind-spot|Night-vision|Head-up-display|Adaptive-cruise
2013AudiS7,"$34,995",https://www.gotoauto.ca /inventory/view/14870281/2013-Audi-S7-Sportback-Quattro---Navigation|Camera|Parking-sensors|Blind-spot-assist|Adaptive-cruise
2018BMW3-Series,"$32,995",https://www.gotoauto.ca /inventory/view/14648826/2018-BMW-3-Series-330i-xDrive-Sedan---Navigation|Rear-view-camera|Leather|Heated-seats|Low-kms!!
2015BMW3-Series,"$29,995",https://www.gotoauto.ca /inventory/view/14831977/2015-BMW-3-Series-335i-xDrive-M-Sport-Sedan--Nav|Camera|Parking-sensors|Leather|Heated-seats|Sunroof
2013BMW3-Series,"$16,995",https://www.gotoauto.ca /inventory/view/15050523/2013-BMW-3-Series-328i-xDrive-Luxury-line-Sedan---Nav|Camera|Parking-sensors|Leather|Heated-seats
2015BMW4 Series,"$34,995",https://www.gotoauto.ca /inventory/view/14964630/2015-BMW-4-Series-435i-xDrive-Gran-Coupe---Nav|Camera|Lane-assist|Head-up-display|Harman/Kardon
2013BMW7-Series,"$17,995",https://www.gotoauto.ca /inventory/view/14593256/2013-BMW-7-Series-750Li-xDrive-M-Sport-Sedan---Nav|Camera|Blind-spot/Lane-assist|Head-up-display
2012BMWX1,"$12,995",https://www.gotoauto.ca /inventory/view/15227310/2012-BMW-X1-xDrive28i-SUV---Navigation|Leather|Heated-seats|Panoramic-roof|Bluetooth
2017BMWX4,"$34,995",https://www.gotoauto.ca /inventory/view/14886339/2017-BMW-X4-xDrive28i-SUV---Nav|360-Camera|Blind-spot/Lane-assist|Head-up-display|Leather|Heated-sea
2018HondaAccord,"$28,995",https://www.gotoauto.ca /inventory/view/15036426/2018-Honda-Accord-EX-L-Sedan---Camera|Lane-assist|Adaptive-cruise|Leather|Heated-seats|Sunroof
